edgeid	co2 (g)	co (g)	nox (g)	vocs (g)	pm10 (g)	pm25 (g)	ghg_cost (€/veh)	nox_cost (€/veh)	noise_cost (€/veh)	tc_cost (€/veh)	rc_cost (€/veh)	emissions_indicator (€/veh)	eco_indicator (€/veh)	totalvehicles	totalrouting	speed (km/h)	ttime (s)	length (km)
483715766#2	858.963525272101	5.7968127874944	2.45372398065698	1.05707725903852	0.229252570002981	0.155277268029122	0.000169104389657253	0	0	0.033768	0	0.000169104389657253	0.0339371043896573	336	156	45.36	1.11666666666667	0.01407
483715766#3	1079.82917448	7.2368018856	3.1026926175	1.3252012536	0.2894739435	0.19676941179	0.0002122196313975	0	0	0.04236	0	0.0002122196313975	0.0425722196313975	336	156	45	1.412	0.01765
483715766#4	16441.8241383163	99.2837360174285	48.6175207141888	17.5752990040514	3.62711302324224	2.95643934449552	0.00330886829289597	0	0	0.316032	0	0.00330886829289597	0.319340868292896	336	156	6.912	68.5833333333333	0.13168
484592256#0	12.4091687415802	0.068558903328	0.0390361697153219	0.0136636942457709	0.00345091833112136	0.00271983624890782	0.000160578183615352	0	0	0	0	0.000160578183615352	0.000160578183615352	5	0	23.256	1.51083591331269	0.00976
484592256#1	16.7487943617663	0.0924329660007	0.0527537055302783	0.0184791704742533	0.00468573664205265	0.00368215552957569	0.000216414871728785	0	0	0	0	0.000216414871728785	0.000216414871728785	5	0	24.012	2.00749625187406	0.01339
484592256#2	18.4862074521607	0.1129036389747	0.0541208617693985	0.0197180866002107	0.00395194229891395	0.00322225679465179	0.000251139603689735	0	0	0	0	0.000251139603689735	0.000251139603689735	5	0	5.364	6.43624161073826	0.00959
484592256#3	12.4093123724055	0.0717877485177	0.0378711408912985	0.0133862116327997	0.00305271055990803	0.00247291978284432	0.000164817838914464	0	0	0	0	0.000164817838914464	0.000164817838914464	5	0	13.068	2.12947658402204	0.00773
498298756	6300.03664428005	40.90782550062	18.5457972949762	7.63430735186555	1.72160214068759	1.189620620329	0.000785006271058713	7.08115681925423e-05	0.00499765612792333	0.156	0	0.000855817839251256	0.161853473967175	526	43	43.308	5.40315876974231	0.065
498298757#0	1734.42604744962	10.6491503943552	5.28607301462738	2.05389263970471	0.488429478177585	0.347849756134936	0.0005015976942406	0	0	0.097656	0	0.0005015976942406	0.0981575976942406	224	0	39.96	3.66576576576577	0.04069
498298757#1	1795.93415519329	10.2096397371494	5.5419443076912	1.94673468591734	0.460842818208932	0.37125951757802	0.000528111169693988	0	0	0.064128	0	0.000528111169693988	0.064656111169694	224	0	15.948	6.03160270880361	0.02672
498298757#2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03952
498298757#3	4597.14140109691	26.729612794705	14.3612809021867	5.31152500310376	1.32331994226763	0.974022164644583	0.00101118713054142	0	0	0.187992	0	0.00101118713054142	0.189003187130541	292	0	35.784	7.88028169014085	0.07833
498298757#4	11380.4572716427	67.7615621036448	34.0329802332659	12.1985982442964	2.60561181793915	2.1214442477967	0.00112026840703252	0	0	0.112704	0	0.00112026840703252	0.113824268407033	683	132	8.856	19.0894308943089	0.04696
49982592	39650.162950369	220.63378577914	124.027202318398	43.3754049763916	10.7534422573152	8.55594506549536	0.00440396032643091	0.000465801275887841	0.00737080586594355	0.601584	0	0.00486976160231875	0.613824567468262	586	0	20.556	43.8984238178634	0.25066
