edgeid	co2 (g)	co (g)	nox (g)	vocs (g)	pm10 (g)	pm25 (g)	ghg_cost (€/veh)	nox_cost (€/veh)	noise_cost (€/veh)	tc_cost (€/veh)	rc_cost (€/veh)	emissions_indicator (€/veh)	eco_indicator (€/veh)	totalvehicles	totalrouting	speed (km/h)	ttime (s)	length (km)
154505299	144.149599460668	0.7965587934939	0.453372149103849	0.158678186611005	0.0400513736736316	0.0315794146290851	0.00186574374200654	3.06371618022201e-05	0.00506849315068493	0	0	0.00189638090380876	0.00696487405449369	5	0	23.148	17.5909797822706	0.11311
156208919#0	936.654522377966	6.40654336339752	2.64429090365045	1.15886552750662	0.247827598356529	0.166708182220339	0.000914255906968853	0	0	0	0	0.000914255906968853	0.000914255906968853	68	0	46.044	5.94917904612979	0.07609
156208919#1	535.525076134155	3.50251511664552	1.5682494794582	0.650831414853495	0.145720043355749	0.100312393120404	0.000524737142304197	0	0	0	0	0.000524737142304197	0.000524737142304197	67	0	43.704	3.5840197693575	0.04351
156211618#0	7171.34285564982	45.376705772647	21.4783053532078	8.59935626860348	1.98849802098447	1.39300828719984	0.00165145552450012	0	0	0.13577	0	0.00165145552450012	0.1374214555245	283	89	41.832	11.684165232358	0.13577
156211618#1	977.627757116609	6.56551166779872	2.80419916826664	1.20077223227034	0.261733031897747	0.177722176454769	0.000236593868578318	0	0	0.047232	0	0.000236593868578318	0.0474685938685783	273	89	45.108	1.5706304868316	0.01968
156211618#2	49.6232358049559	0.334420153704	0.141922541017364	0.0610344597110836	0.0132559668195869	0.00898497670585184	1.20196097560262e-05	0	0	0.0024	0	1.20196097560262e-05	0.00241201960975603	273	89	45.288	0.0794912559618442	0.001
156211619	370.969139311791	2.080811409012	1.15434690368683	0.40412292170331	0.0984303351069221	0.078779596988386	0.000425687642363027	5.54661426935429e-06	0.00240326844508532	0.05532	0	0.000431234256632382	0.0581545027017177	57	0	18.576	4.46705426356589	0.02305
156211620	452.355736666404	2.50258744582896	1.42120446373424	0.497219079196607	0.125068158964627	0.0988247524324791	0.000385649816205065	5.12317831693885e-06	0.00202775775054074	0.055344	0	0.000390772994522004	0.0577625307450627	76	15	22.572	3.67783094098884	0.02306
157156090#0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02196
157295454#0	573.400457560288	3.3431630889405	1.78943526362908	0.663402114969909	0.164920744825262	0.121166187920135	0.00193899060388253	0	0	0	0	0.00193899060388253	0.00193899060388253	19	0	36.036	15.0559440559441	0.15071
157295454#1	121.917905510298	0.723070536741	0.377847532990966	0.142195278189452	0.0348577050802949	0.0253328145441463	0.000413243116429402	0	0	0	0	0.000413243116429402	0.000413243116429402	19	0	37.476	3.14121037463977	0.0327
158900210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19075
159959889	2366.00659290816	16.2177449453158	6.66651439719007	2.92981235833386	0.625137701910803	0.42005645559111	0.000471855043159355	5.46464112246684e-05	0.00795795795795796	0.094248	0	0.000526501454384024	0.102732459412342	333	0	46.152	3.06318252730109	0.03927
159959890	1516.68030198394	10.5778149915648	4.20345169976486	1.89109894782588	0.396117672503525	0.26382784992795	0.000292436729228838	4.93168941466812e-05	0.0105662892284953	0.058368	0	0.000341753623375519	0.0692760428518708	346	45	47.016	1.86217457886677	0.02432
159959891#0	1447.00384305866	8.696683936899	4.45770454097098	1.69777773766224	0.411483627457992	0.296665630848288	0.000183107206032732	0	0	0.03516	0	0.000183107206032732	0.0353431072060327	510	45	38.484	1.37043966323667	0.01465
159959891#1	715.385398555054	4.577305705056	2.12728878451465	0.861746712339502	0.197148672257119	0.137290671727497	9.1634727222743e-05	0	0	0.018144	0	9.1634727222743e-05	0.0182356347272227	510	45	42.48	0.640677966101695	0.00756
159959891#2	1406.56672195926	9.4135050293472	4.04610883036777	1.72523195368781	0.377391341962504	0.256713922609475	0.000182059092146242	0	0	0.036336	0	0.000182059092146242	0.0365180590921462	510	45	44.928	1.21314102564103	0.01514
159959891#3	19046.1729315125	105.5265627033	59.7655535235199	20.9036561834939	5.23696082646339	4.14717264551839	0.00242291108333936	0	0	0.3426	0	0.00242291108333936	0.345022911083339	510	45	21.96	23.4016393442623	0.14275
167014898	10.1413629973923	0.05593749939792	0.0319695425453563	0.011206948641446	0.00284930094160721	0.00223380028226483	5.45417007287275e-05	5.86236543522776e-06	0.0137557077625571	0.008208	0	6.04040661639553e-05	0.022024111828721	12	0	24.588	0.500732064421669	0.00342
167014901	852.623804685747	4.74679526379552	2.69552844869869	0.959397860919628	0.245916385041187	0.187793385307982	0.000350403877155694	1.55955645420622e-05	0.00130400421496312	0.059208	0	0.000365999441697756	0.0608780036566609	156	0	30.024	2.95803357314149	0.02467
167057944#0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00894
167057944#1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01028
167487325#0	26.5742765678926	0.15576195759816	0.0827614406065679	0.0308241309548437	0.00763022552198429	0.00558649504251509	0.00170855140776038	0	0	0	0	0.00170855140776038	0.00170855140776038	1	0	36.504	13.1765285996055	0.13361
167487325#1	19.6551829904251	0.11952168879552	0.0602051151169888	0.0231796669382966	0.00556031818028019	0.00398164637440394	0.00127104052166537	0	0	0	0	0.00127104052166537	0.00127104052166537	1	0	39.312	9.38827838827839	0.10252
167487340	16.2487667408809	0.090122298192	0.0513840701693231	0.0182165097539119	0.00467355052269558	0.00358781351765574	0.00017373910355947	6.01446927713984e-06	0.00878995433789954	0	0	0.00017975357283661	0.00896970791073615	6	0	29.052	1.48698884758364	0.012
