junction	edge
128566335	:128566335_1
128566335	:128566335_2
128566335	:128566335_3
128566335	:128566335_4
128566335	:128566335_5
128569678	:128569678_0
128569678	:128569678_0
128569678	:128569678_0
128569766	:128569766_0
128569766	:128569766_0
128569766	:128569766_0
128571476	:128571476_0
128571476	:128571476_0
128571476	:128571476_2
128571479	:128571479_0
128571479	:128571479_0
128573633	:128573633_0
128573633	:128573633_0
128573633	:128573633_2
128575853	:128575853_0
128575853	:128575853_1
128575853	:128575853_2
128575853	:128575853_3
128575853	:128575853_4
128575853	:128575853_4
128575853	:128575853_6
128577510	:128577510_0
128577510	:128577510_0
128577510	:128577510_2
128577519	:128577519_0
128577519	:128577519_1
128577519	:128577519_1
128577519	:128577519_1
128578702	:128578702_0
128578702	:128578702_0
128578706	:128578706_0
128578706	:128578706_0
128579264	:128579264_0
128579264	:128579264_1
128579264	:128579264_1
128579264	:128579264_1
128579825	:128579825_0
128579825	:128579825_1
128580161	:128580161_0
128580161	:128580161_1
128580161	:128580161_1
128581932	:128581932_0
128581932	:128581932_0
128581937	:128581937_0
128581937	:128581937_0
128581937	:128581937_2
128583031	:128583031_0
128583031	:128583031_0
128583756	:128583756_0
128583756	:128583756_1
128583855	:128583855_0
128583855	:128583855_1
128583855	:128583855_1
128583855	:128583855_1
128583855	:128583855_1
128586501	:128586501_0
128586501	:128586501_1
128587416	:128587416_0
128587416	:128587416_1
128588858	:128588858_0
128588858	:128588858_1
128591054	:128591054_0
128591075	:128591075_0
128597080	:128597080_0
128597080	:128597080_0
128597080	:128597080_2
128597080	:128597080_2
128607704	:128607704_0
128616477	:128616477_0
128616477	:128616477_1
128616477	:128616477_1
128616477	:128616477_3
128616477	:128616477_3
128616477	:128616477_5
128616477	:128616477_6
128616478	:128616478_0
128616478	:128616478_1
128616478	:128616478_1
128616478	:128616478_3
128616478	:128616478_4
128617100	:128617100_0
128617100	:128617100_1
128617100	:128617100_1
128617100	:128617100_3
128617100	:128617100_3
128617100	:128617100_7
128617100	:128617100_8
128617101	:128617101_0
128617101	:128617101_1
128617101	:128617101_1
128617101	:128617101_3
128617101	:128617101_4
128617101	:128617101_5
128672584	:128672584_0
128673221	:128673221_0
128673221	:128673221_0
128673221	:128673221_6
128673221	:128673221_3
128673221	:128673221_4
128673221	:128673221_4
128673222	:128673222_0
128673222	:128673222_0
128673222	:128673222_2
128673222	:128673222_3
128673222	:128673222_4
128673222	:128673222_5
128673222	:128673222_5
128673223	:128673223_0
128673223	:128673223_0
128673223	:128673223_8
128673223	:128673223_3
128673223	:128673223_4
128673223	:128673223_5
128673223	:128673223_6
128673223	:128673223_7
128674452	:128674452_0
128674452	:128674452_1
128674452	:128674452_1
128674452	:128674452_1
128674452	:128674452_4
128674452	:128674452_5
128674452	:128674452_6
128674452	:128674452_7
128674452	:128674452_8
128674452	:128674452_8
128674453	:128674453_0
128676154	:128676154_0
128676154	:128676154_1
128676154	:128676154_1
128676154	:128676154_3
128676154	:128676154_3
128676154	:128676154_5
128677717	:128677717_0
128677717	:128677717_5
128677717	:128677717_2
128677717	:128677717_3
128677717	:128677717_3
128677724	:128677724_0
128677724	:128677724_1
128677724	:128677724_1
128677724	:128677724_3
128677724	:128677724_3
128677724	:128677724_3
128679581	:128679581_0
128679581	:128679581_1
128679581	:128679581_2
128679581	:128679581_3
128680158	:128680158_0
128680158	:128680158_1
128680158	:128680158_2
128680158	:128680158_3
128680158	:128680158_3
1290243437	:1290243437_0
1290243437	:1290243437_0
1291503777	:1291503777_0
1291503777	:1291503777_1
129544876	:129544876_0
129544876	:129544876_1
129544876	:129544876_1
129544876	:129544876_1
129545993	:129545993_0
129545993	:129545993_0
129545993	:129545993_0
129548927	:129548927_0
129548927	:129548927_0
129548927	:129548927_2
129548927	:129548927_3
129548927	:129548927_4
129548927	:129548927_5
129548927	:129548927_5
129548929	:129548929_0
129548929	:129548929_0
129548929	:129548929_0
129548930	:129548930_0
129548930	:129548930_1
129548930	:129548930_1
129548930	:129548930_1
129548930	:129548930_4
129548930	:129548930_5
129548930	:129548930_6
129548933	:129548933_0
129548933	:129548933_1
129549662	:129549662_0
129549662	:129549662_1
129550851	:129550851_0
129550851	:129550851_0
129552048	:129552048_0
129553665	:129553665_0
129553667	:129553667_0
129553667	:129553667_0
129553875	:129553875_0
129553875	:129553875_1
129553875	:129553875_1
129553875	:129553875_3
129553875	:129553875_4
129554083	:129554083_0
129554083	:129554083_1
129554561	:129554561_0
129554561	:129554561_0
129554561	:129554561_2
129555296	:129555296_0
129555296	:129555296_1
129555296	:129555296_2
129555296	:129555296_2
129555296	:129555296_4
129557542	:129557542_0
129557542	:129557542_1
129557542	:129557542_1
129557542	:129557542_1
129558556	:129558556_0
129558556	:129558556_1
129558556	:129558556_1
129558556	:129558556_1
129558976	:129558976_0
129558976	:129558976_1
129558976	:129558976_2
129559333	:129559333_0
129559333	:129559333_0
129559333	:129559333_5
129559333	:129559333_3
129559333	:129559333_4
129559334	:129559334_0
129559334	:129559334_1
129559334	:129559334_6
129559334	:129559334_3
129559334	:129559334_4
129559334	:129559334_7
1296455172	:1296455172_0
129784803	:129784803_0
129786476	:129786476_0
129786479	:129786479_0
129788146	:129788146_0
129788146	:129788146_1
129789018	:129789018_0
129789018	:129789018_1
129789018	:129789018_1
129792727	:129792727_0
129792727	:129792727_0
129792727	:129792727_2
129792731	:129792731_0
129792735	:129792735_0
129792737	:129792737_0
129792737	:129792737_1
129795158	:129795158_0
129795158	:129795158_1
129795158	:129795158_2
129795307	:129795307_0
129795307	:129795307_0
129795309	:129795309_0
129795309	:129795309_0
129795309	:129795309_7
129795309	:129795309_8
129795309	:129795309_4
129795309	:129795309_5
129795309	:129795309_9
129795565	:129795565_0
129795568	:129795568_0
129795568	:129795568_1
129800097	:129800097_0
129800097	:129800097_1
129800102	:129800102_0
129800102	:129800102_0
129800102	:129800102_7
129800102	:129800102_8
129800102	:129800102_4
129800102	:129800102_5
129800102	:129800102_9
129953503	:129953503_0
129953503	:129953503_1
129953503	:129953503_2
129953504	:129953504_0
129953504	:129953504_1
129953504	:129953504_1
129953504	:129953504_3
129953504	:129953504_4
129953505	:129953505_0
129953505	:129953505_1
129953505	:129953505_1
129953505	:129953505_3
130075493	:130075493_0
130075493	:130075493_0
130075493	:130075493_0
130075493	:130075493_0
130075494	:130075494_0
130075494	:130075494_0
130075494	:130075494_0
130075494	:130075494_0
130075497	:130075497_0
130075497	:130075497_1
130075497	:130075497_1
130075497	:130075497_1
130075498	:130075498_0
130075498	:130075498_0
130075498	:130075498_0
130075590	:130075590_0
130075590	:130075590_0
130075590	:130075590_2
130075593	:130075593_0
130075593	:130075593_1
1334148416	:1334148416_0
1334148418	:1334148418_0
1352646984	:1352646984_0
1352646984	:1352646984_0
1352646988	:1352646988_0
1352646988	:1352646988_0
1352646999	:1352646999_0
1352646999	:1352646999_0
1352647001	:1352647001_0
1352647001	:1352647001_0
1352647002	:1352647002_0
1352647002	:1352647002_0
1352647002	:1352647002_2
1352647011	:1352647011_0
1352647011	:1352647011_0
1352647022	:1352647022_0
1352647022	:1352647022_1
1352647022	:1352647022_1
1352647028	:1352647028_0
1352647028	:1352647028_0
1352647028	:1352647028_2
1352647030	:1352647030_0
1352647030	:1352647030_0
1352647030	:1352647030_2
1352647035	:1352647035_0
1352647035	:1352647035_0
1352647036	:1352647036_0
1352647036	:1352647036_0
1352647036	:1352647036_2
1352647036	:1352647036_2
1352647049	:1352647049_0
1352647049	:1352647049_0
1352647049	:1352647049_2
1352647052	:1352647052_0
1352647052	:1352647052_0
1352647054	:1352647054_0
1352647054	:1352647054_1
1352647054	:1352647054_1
1352663628	:1352663628_0
1352663628	:1352663628_0
1352663628	:1352663628_2
1352663630	:1352663630_0
1352663630	:1352663630_0
1352663630	:1352663630_2
1352663646	:1352663646_0
1352663646	:1352663646_0
1352663646	:1352663646_2
1352663651	:1352663651_0
1352663651	:1352663651_0
1352663653	:1352663653_0
1352663653	:1352663653_0
1352663653	:1352663653_2
1352663655	:1352663655_0
1352663655	:1352663655_1
1352663655	:1352663655_1
1352663656	:1352663656_0
1352663656	:1352663656_1
1352663656	:1352663656_1
1352663664	:1352663664_0
1352663664	:1352663664_0
1352663664	:1352663664_2
1352663666	:1352663666_0
1352663666	:1352663666_0
1352663667	:1352663667_0
1352663667	:1352663667_0
1352663667	:1352663667_2
1352663673	:1352663673_0
1352663673	:1352663673_0
1352663678	:1352663678_0
1352663678	:1352663678_0
1352663679	:1352663679_0
1352663679	:1352663679_0
1353874575	:1353874575_0
1353874575	:1353874575_0
137817763	:137817763_0
137817855	:137817855_0
137817855	:137817855_0
137817855	:137817855_2
137817855	:137817855_3
137817855	:137817855_3
137819989	:137819989_0
137819989	:137819989_0
137819989	:137819989_2
137819989	:137819989_4
137831884	:137831884_0
137831884	:137831884_1
137831888	:137831888_0
137831888	:137831888_1
137831895	:137831895_0
137831896	:137831896_0
137831896	:137831896_1
137868887	:137868887_0
137868887	:137868887_1
137868887	:137868887_1
137868887	:137868887_3
137868887	:137868887_4
137873037	:137873037_0
137881583	:137881583_0
137881583	:137881583_0
137882131	:137882131_0
137882131	:137882131_1
137882131	:137882131_2
137882131	:137882131_3
137882131	:137882131_4
137882131	:137882131_5
137884299	:137884299_0
137884299	:137884299_1
137884299	:137884299_2
137884299	:137884299_3
137884299	:137884299_3
137888646	:137888646_0
137888646	:137888646_1
137888646	:137888646_1
137896681	:137896681_0
137896691	:137896691_0
137896691	:137896691_1
137896691	:137896691_1
137896691	:137896691_3
137896691	:137896691_7
137896691	:137896691_5
137896691	:137896691_6
137896693	:137896693_0
137896693	:137896693_0
137896693	:137896693_2
137896693	:137896693_3
137896693	:137896693_4
137896693	:137896693_5
137896694	:137896694_0
137896694	:137896694_0
137896694	:137896694_2
137896696	:137896696_0
137896696	:137896696_0
137896696	:137896696_2
137896696	:137896696_3
137896696	:137896696_4
137901873	:137901873_0
137901873	:137901873_1
137901873	:137901873_1
137901873	:137901873_3
137901873	:137901873_4
137901873	:137901873_4
137901874	:137901874_0
137901874	:137901874_1
137901874	:137901874_2
137903870	:137903870_0
137903870	:137903870_0
137903872	:137903872_0
137903872	:137903872_1
137903872	:137903872_1
137955522	:137955522_0
137959671	:137959671_0
137959671	:137959671_1
137961403	:137961403_0
137961403	:137961403_1
137964116	:137964116_0
137964116	:137964116_1
137964116	:137964116_1
137964116	:137964116_3
137964116	:137964116_3
137967018	:137967018_0
137967018	:137967018_0
137970173	:137970173_0
137970173	:137970173_0
137981937	:137981937_0
137981937	:137981937_4
137981937	:137981937_2
137981937	:137981937_5
137982073	:137982073_0
137982073	:137982073_1
137982073	:137982073_1
137982073	:137982073_3
137982073	:137982073_4
137982073	:137982073_4
137982795	:137982795_0
137982795	:137982795_1
137982795	:137982795_1
