carid	cost_co	cost_co2	cost_hc	cost_PMx	cost_nox	cost_fuel	length	ttime
561	51309.79860755944	1698495.7382186982	273.40893658432867	33.63201228493489	719.9772816366243	730.1264439888467	4321.930642857141	692.3597302706837
562	63084.70114990295	1944109.1580514214	332.7353701718215	39.05974524411974	826.4727964770402	835.7104252233872	4844.98973809524	817.8507985049387
563	63084.70114990295	1944109.1580514214	332.7353701718215	39.05974524411974	826.4727964770402	835.7104252233872	4844.98973809524	817.8507985049387
564	28424.06317821211	892757.664977273	150.38955288118262	18.20751809560452	382.4699378351635	383.76699811342434	1950.2001428571425	349.25300592415607
565	122067.9918641578	2837146.352401036	622.2669465818601	61.76832706243958	1239.982720964183	1219.6166695634572	4531.677093073593	1227.9487107963312
566	14039.861405136391	546076.7501981795	76.62848868738901	9.969689103793453	224.79448868051784	234.73942292395864	1962.2123928571427	252.7331830657593
567	28424.06317821211	892757.664977273	150.38955288118262	18.20751809560452	382.4699378351635	383.76699811342434	1950.2001428571425	349.25300592415607
568	63084.70114990295	1944109.1580514214	332.7353701718215	39.05974524411974	826.4727964770402	835.7104252233872	4844.98973809524	817.8507985049387
569	66438.74478858818	1880065.685898777	346.66875351160127	39.281324104838646	809.619128600812	808.1824724103204	3831.922654761905	755.9518917847855
570	119160.08282914964	2693976.8148454763	605.7885727488608	59.77890514982117	1185.1195042770407	1158.0727701306744	3620.248273809524	1124.4461467046585
571	63084.70114990295	1944109.1580514214	332.7353701718215	39.05974524411974	826.4727964770402	835.7104252233872	4844.98973809524	817.8507985049387
572	20928.9391959957	668655.7084062921	110.95614710577921	13.382077145873707	284.5810626920445	287.4330808841018	1636.260309523809	276.4116209270669
573	66438.74478858818	1880065.685898777	346.66875351160127	39.281324104838646	809.619128600812	808.1824724103204	3831.922654761905	755.9518917847855
574	122786.3803516679	2772693.2387396274	624.1163569507694	61.3936793739538	1218.516045221526	1191.9113401174516	3870.171440476191	1169.3478026030766
575	28424.06317821211	892757.664977273	150.38955288118262	18.20751809560452	382.4699378351635	383.76699811342434	1950.2001428571425	349.25300592415607
576	122642.1854330015	2793310.0770982765	623.8775181301951	61.31039715499335	1224.1309059087707	1200.7739112337222	4182.763759740259	1203.9185611605849
577	20928.9391959957	668655.7084062921	110.95614710577921	13.382077145873707	284.5810626920445	287.4330808841018	1636.260309523809	276.4116209270669
578	119097.73357430665	2827687.9984217407	608.6074505138515	61.56822660010363	1233.6172083155457	1215.5488025977493	4636.673273809524	1184.27008003001
579	66438.74478858818	1880065.685898777	346.66875351160127	39.281324104838646	809.619128600812	808.1824724103204	3831.922654761905	755.9518917847855
580	122786.3803516679	2772693.2387396274	624.1163569507694	61.3936793739538	1218.516045221526	1191.9113401174516	3870.171440476191	1169.3478026030766
581	63084.70114990295	1944109.1580514214	332.7353701718215	39.05974524411974	826.4727964770402	835.7104252233872	4844.98973809524	817.8507985049387
582	51309.79860755944	1698495.7382186982	273.40893658432867	33.63201228493489	719.9772816366243	730.1264439888467	4321.930642857141	692.3597302706837
583	51309.79860755944	1698495.7382186982	273.40893658432867	33.63201228493489	719.9772816366243	730.1264439888467	4321.930642857141	692.3597302706837
584	66438.74478858818	1880065.685898777	346.66875351160127	39.281324104838646	809.619128600812	808.1824724103204	3831.922654761905	755.9518917847855
