edgeid	co2 (g)	co (g)	nox (g)	vocs (g)	pm10 (g)	pm25 (g)	ghg_cost (€/veh)	nox_cost (€/veh)	noise_cost (€/veh)	tc_cost (€/veh)	rc_cost (€/veh)	emissions_indicator (€/veh)	eco_indicator (€/veh)	totalvehicles	totalrouting	speed (km/h)	ttime (s)	length (km)
704509573#11	785.500796898584	5.2825744506465	2.2504928151488	0.965327225611986	0.210111399193927	0.142568000444762	0.000384551944163137	0	0	0.076776	0	0.000384551944163137	0.0771605519441631	135	0	45.18	2.54900398406374	0.03199
704509573#12	1971.27235804342	11.906631030177	5.82764755905212	2.10706266823878	0.434558641494053	0.354211018715084	0.000987478274798066	0	0	0.094224	0	0.000987478274798066	0.095211478274798	135	0	6.876	20.5549738219895	0.03926
704509573#13	2851.82742861988	19.395443722662	8.09207336204506	3.52041916924453	0.757357882198216	0.510941197065329	0.00175011287199465	0	0	0	0	0.00175011287199465	0.00175011287199465	108	0	45.756	11.4594807238395	0.14565
704509573#14	1316.08933350622	9.13222798476912	3.66575212151997	1.63766651382258	0.34491240885432	0.230319007452093	0.000811872916324942	0	0	0.06754	0	0.000811872916324942	0.0683518729163249	108	0	46.764	5.19938414164742	0.06754
704509573#2	908.685915302817	6.32363654973336	2.5238388917916	1.13202549353132	0.23767666926386	0.158476720806713	0.000423680864283889	0	0	0.084576	0	0.000423680864283889	0.0849996808642839	143	0	46.908	2.70452801227936	0.03524
704509573#3	3946.72208788063	23.4501303669204	12.2219285568711	4.6069919067578	1.1276115230816	0.818571767415623	0.00177792182300736	0	0	0	0	0.00177792182300736	0.00177792182300736	143	0	37.62	13.4851674641148	0.14092
704509573#4	1344.42227407679	8.8875928175748	3.90540099837656	1.64092244584236	0.363473848237041	0.248823575404735	0.000636577100336756	0	0	0.126888	0	0.000636577100336756	0.127524577100337	139	0	44.28	4.29837398373984	0.05287
704509573#5	872.90273468175	6.07903989699168	2.42271891451443	1.08776253419428	0.228204838566179	0.152104838352935	0.000424903678595632	0	0	0.084816	0	0.000424903678595632	0.0852409036785956	137	0	46.944	2.7101226993865	0.03534
704509573#6	2408.79284045573	13.8768359281178	7.5496352683171	2.7700827111555	0.695083032338381	0.514898111174019	0.00112815486416045	0	0	0.08629	0	0.00112815486416045	0.0874181548641605	137	0	34.884	8.90505675954592	0.08629
704509573#7	2479.6396593948	16.32609847854	7.22541106348938	3.02160887471059	0.672035222850859	0.461021261018417	0.00120772700502768	0	0	0	0	0.00120772700502768	0.00120772700502768	135	0	44.064	8.19035947712418	0.10025
